INDEX_NAME,INDEX_REGION,STATIONID,SAMPLEID,TARGET_COUTN,COLLDATE,COLLMETH,LAT,LONG,TAXAID,N_TAXA,EXCLUDE,NONTARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,TOLVAL,FFG,LIFE_CYCLE
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Agapetus,3,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,,Agapetus,1,SC,uni
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Agnetina capitata,5,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Perlidae,Perlinae,Perlini,Agnetina,2,PR,semi
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Amphinemura,1,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Nemouridae,,,Amphinemura,1,SH,uni
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Atherix,2,FALSE,FALSE,Arthropoda,Insecta,Diptera,Athericidae,,,Atherix,4,PR,uni
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Atractides,1,FALSE,FALSE,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,,,Atractides,6,PR,
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Baetis,4,TRUE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,6,CG,multi
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Baetis flavistriga complex,8,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,4,CG,multi
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Baetis tricaudatus complex,43,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,6,CG,multi
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Bezzia/Palpomyia,5,FALSE,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,,,6,PR,
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Brachycentrus,5,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Brachycentridae,,,Brachycentrus,1,CF,uni
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Chaetocladius,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Chaetocladius,6,CG,
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Corynoneura,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Corynoneura,4,CG,multi
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Dicranota,4,FALSE,FALSE,Arthropoda,Insecta,Diptera,Tipulidae,,,Dicranota,3,PR,uni
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Diphetor hageni,2,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Diphetor,6,CG,multi
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Dolophilodes,2,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,Dolophilodes,1,CF,
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Drunella cornutella,3,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,Drunella,1,SC,uni
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Ectopria nervosa,2,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Ectopria,5,SC,semi
MassDEP_2020_Bugs,KickIBI_WH_300ct,B0035,2017011.A,300,7/20/2017,RBP kicknet,42.627311,-73.224315,Enchytraeidae,3,FALSE,FALSE,Annelida,Oligochaeta,Enchytraeida,Enchytraeidae,,,,10,CG,
