INDEX_NAME,INDEX_REGION,LONG,SAMPLEID,TAXAID,N_TAXA,EXCLUDE,NONTARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,TOLVAL,LIFE_CYCLE
MassDEP_2020_Bugs,LowGradientIBI,-71.21526802,2010002,Tvetenia tshernovskii,3,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Tvetenia,5,multi
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Ancyronyx variegatus,1,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Ancyronyx,5,uni
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Brachycentrus,3,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Brachycentridae,,,Brachycentrus,5,uni
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Caecidotea,7,FALSE,FALSE,Arthropoda,Malacostraca,Isopoda,Asellidae,,,Caecidotea,8,
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Cheumatopsyche,2,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Cheumatopsyche,5,multi
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Clinotanypus,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Coelotanypodini,Clinotanypus,5,
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Coenagrionidae,3,FALSE,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,5,
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Crangonyx,17,FALSE,FALSE,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,,,Crangonyx,8,uni
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Dubiraphia,3,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Dubiraphia,5,uni
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Gammarus,31,FALSE,FALSE,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,,Gammarus,8,uni
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Gomphidae,1,FALSE,FALSE,Arthropoda,Insecta,Odonata,Gomphidae,,,,5,
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Lumbriculidae,1,FALSE,FALSE,Annelida,Clitellata,Lumbriculida,Lumbriculidae,,,,5,
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Macronychus glabratus,1,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Macronychus,5,uni
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Microtendipes pedellus group,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,5,
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Microtendipes rydalensis group,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,5,
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Mystacides,1,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,Mystacides,5,uni
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Paratanytarsus,2,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Paratanytarsus,5,
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Physidae,7,FALSE,FALSE,Mollusca,Gastropoda,Basommatophora,Physidae,,,,8,
MassDEP_2020_Bugs,LowGradientIBI,-71.24471208,2010003,Pisidiidae,4,FALSE,FALSE,Mollusca,Bivalvia,Veneroida,Pisidiidae,,,,,
