INDEX_NAME,INDEX_REGION,STATIONID,COLLDATE,COLLMETH,SAMPLEID,LAT,LONG,TAXAID,N_TAXA,EXCLUDE,NONTARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,FFG,HABIT,TOLVAL,THERMAL_INDICATOR,LIFE_CYCLE
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Acentrella turbida,2,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,CG,SW,4,,multi
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Acroneuria abnormis,1,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Perlidae,,,Acroneuria,PR,CN,1,,semi
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Agnetina capitata,1,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Perlidae,Perlinae,Perlini,Agnetina,PR,CN,2,,semi
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Antocha,4,FALSE,FALSE,Arthropoda,Insecta,Diptera,Tipulidae,,,Antocha,CG,CN,4,,uni
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Baetis,3,TRUE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,CG,CN,6,,multi
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Baetis flavistriga complex,3,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,CG,CN,4,,multi
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Cheumatopsyche,9,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Cheumatopsyche,CF,CN,5,,
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Corydalus cornutus,1,FALSE,FALSE,Arthropoda,Insecta,Megaloptera,Corydalidae,,,Corydalus,PR,CN,4,,
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Cryptochironomus,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Cryptochironomus,PR,SP,8,,
MassDEP_2020_Bugs,KickIBI_CH_300ct,GRM01A,9/11/2012,RBP kicknet,GRM01A-12-3-1.R_300ct,42.575825,-72.598362,Hemerodromia,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Empididae,,,Hemerodromia,PR,SP,6,,uni
