INDEX_NAME,INDEX_REGION,STATIONID,COLLDATE,COLLMETH,SAMPLEID,LAT,LONG,TAXAID,N_TAXA,EXCLUDE,NONTARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,FFG,HABIT,TOLVAL,THERMAL_INDICATOR,LIFE_CYCLE
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Adicrophleps hitchcocki,3,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Brachycentridae,,,Adicrophleps,SH,CN,2,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Baetis,1,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis,CG,CN,6,,multi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Ceratopogoninae,2,FALSE,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,,,PR,,6,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Corynoneura,2,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Corynoneura,CG,SP,4,,multi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Dixa,5,FALSE,FALSE,Arthropoda,Insecta,Diptera,Dixidae,,,Dixa,CG,CB,1,cold_cool,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Ectopria nervosa,3,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Ectopria,SC,CN,5,,semi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Gerridae,1,FALSE,TRUE,Arthropoda,Insecta,Hemiptera,Gerridae,,,,PR,,,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Heleniella,2,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Heleniella,CG,SP,5,cold_cool,multi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Hydrophilidae,1,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,,,,5,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Hydropsychidae,3,TRUE,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,,CF,CN,4,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Leuctra,2,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Leuctridae,,,Leuctra,SH,SP,1,,uni
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Malirekus iroquois,3,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Perlodidae,,,Malirekus,PR,CN,2,cold_cool,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Micropsectra/Tanytarsus,5,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,,CG,CN,,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Neoplasta,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Empididae,,,Neoplasta,PR,SP,6,,uni
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Orthocladiinae,4,TRUE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,,,,5,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Oulimnius latiusculus,8,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Elmidae,,,Oulimnius,SC,CN,4,cold_cool,semi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Paracapnia,3,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Capniidae,,,Paracapnia,SH,SP,1,cold_cool,uni
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Parametriocnemus,11,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Parametriocnemus,CG,SP,5,,multi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Parapsyche apicalis,2,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Parapsyche,CF,CN,1,cold_cool,uni
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Pericoma/Telmatoscopus,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Psychodidae,,,,CG,BU,,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Pisidiidae,1,FALSE,FALSE,Mollusca,Bivalvia,Veneroida,Pisidiidae,,,,CF,BU,8,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Polypedilum,4,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,SH,CN,6,,multi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Psilotreta,1,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Odontoceridae,,,Psilotreta,SC,SP,1,cold_cool,semi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Pycnopsyche gentilis,1,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Limnephilidae,,,Pycnopsyche,SH,SP,4,,uni
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Rhyacophila minor,3,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,,,Rhyacophila,PR,CN,1,cold_cool,uni
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Soyedina,2,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Nemouridae,,,Soyedina,SH,SP,2,,uni
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Stempellinella,2,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Stempellinella,CG,CB,2,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Sweltsa,4,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,Sweltsa,PR,CN,1,cold_cool,semi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Tallaperla maria,2,FALSE,FALSE,Arthropoda,Insecta,Plecoptera,Peltoperlidae,,,Tallaperla,SH,CN,1,cold_cool,semi
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Tanypodinae,5,TRUE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,,PR,,,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Thienemannimyia genus group,5,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Thienemannimyia genus group,PR,SP,6,,
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Tipula,1,FALSE,FALSE,Arthropoda,Insecta,Diptera,Tipulidae,,,Tipula,SH,BU,6,,uni
MassDEP_2019_Bugs,WestHighlands,CATAMOUNT08,8/2/2011,RBP kicknet,CATAMOUNT08-11-1-1.R,42.6365,-72.7408,Tvetenia,2,TRUE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Tvetenia,CG,SP,5,,multi
