"SAMPLEID","LAT","LONG","STATIONID","COLLDATE","COLLMETH","INDEX_REGION","INDEX_NAME","ni_total","nt_total","pt_EPT","pi_EphemNoCaeBae","pi_ffg_filt","pt_ffg_pred","pt_tv_intol","pi_Pleco","pi_ffg_shred","pi_tv_intol","x_Becks"
"2000006",42.660109,-71.007554,"B0157","7/17/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",103,29,27.5862068965517,0.970873786407767,20.3883495145631,27.5862068965517,31.0344827586207,9.70873786407767,3.88349514563107,19.4174757281553,21
"2000009",42.661044,-70.844894,"B0439","7/19/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",91,11,9.09090909090909,0,17.5824175824176,0,0,0,0,0,1
"2000010",42.660748,-70.903712,"B0440","7/19/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",102,22,36.3636363636364,5.88235294117647,27.4509803921569,18.1818181818182,36.3636363636364,16.6666666666667,18.6274509803922,31.3725490196078,18
"2000011",42.562283,-71.109284,"B0441","7/19/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",106,20,5,0,52.8301886792453,10,0,0,3.77358490566038,0,0
"2000014",42.592316,-72.495222,"B0444","9/11/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",96,21,52.3809523809524,12.5,39.5833333333333,4.76190476190476,33.3333333333333,1.04166666666667,1.04166666666667,20.8333333333333,14
"2000015",42.57641,-72.466338,"B0445","9/11/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",102,23,47.8260869565217,7.84313725490196,15.6862745098039,17.3913043478261,43.4782608695652,8.82352941176471,6.86274509803922,32.3529411764706,21
"2000017",42.598139,-72.437622,"B0446","9/11/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",91,23,52.1739130434783,13.1868131868132,54.9450549450549,4.34782608695652,30.4347826086957,0,1.0989010989011,15.3846153846154,14
"2000019",42.614562,-72.238155,"B0227","9/12/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",110,22,45.4545454545455,8.18181818181818,45.4545454545455,13.6363636363636,31.8181818181818,0,0.909090909090909,25.4545454545455,13
"2000020",42.651487,-72.198629,"B0447","9/12/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",96,21,19.047619047619,5.20833333333333,30.2083333333333,14.2857142857143,19.047619047619,0,0,12.5,9
"2000022",42.681872,-72.1145,"B0448","9/12/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",97,25,36,14.4329896907216,42.2680412371134,20,28,2.06185567010309,2.06185567010309,32.9896907216495,15
"2000023",42.629064,-72.151983,"B0459","9/12/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",102,28,35.7142857142857,1.96078431372549,38.2352941176471,10.7142857142857,10.7142857142857,0,12.7450980392157,8.82352941176471,8
"2000024A.1",42.68846,-72.179348,"B0449","9/13/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",99,33,42.4242424242424,15.1515151515152,35.3535353535354,18.1818181818182,33.3333333333333,0,4.04040404040404,45.4545454545455,19
"2000026",42.606464,-72.080097,"B0460","9/13/2000","RBP kicknet","CENTRALHILLS","MassDEP_2019_Bugs",110,23,34.7826086956522,1.81818181818182,39.0909090909091,13.0434782608696,17.3913043478261,0,0.909090909090909,6.36363636363636,11
"2000031",42.639733,-72.868627,"B0453","9/25/2000","RBP kicknet","WESTHIGHLANDS","MassDEP_2019_Bugs",96,17,52.9411764705882,12.5,9.375,11.7647058823529,47.0588235294118,28.125,4.16666666666667,48.9583333333333,16
